symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
GOLDBEES-E,INF204KB17I5,2024-10-09,BSE,EQ,E,buy,false,10.000000,62.850000,840700,1728445500036017556,2024-10-09T09:53:57
ITC,INE154A01025,2024-10-09,NSE,EQ,EQ,buy,false,1.000000,497.000000,207749665,1100000047333200,2024-10-09T14:36:33
ITC,INE154A01025,2024-10-09,NSE,EQ,EQ,buy,false,1.000000,496.000000,207810926,1100000047648284,2024-10-09T14:39:14
ITC,INE154A01025,2024-10-09,NSE,EQ,EQ,buy,false,1.000000,495.450000,207837204,1100000047831881,2024-10-09T14:40:50
HNGSNGBEES,INF204KB19I1,2024-10-15,NSE,EQ,EQ,buy,false,1.000000,325.390000,203546990,1100000020720801,2024-10-15T11:28:51
MON100,INF247L01AP3,2024-10-15,NSE,EQ,EQ,buy,false,20.000000,166.610000,406980217,1200000022953013,2024-10-15T13:56:14
HDFCSML250,INF179KC1FB2,2024-10-22,BSE,EQ,B,buy,false,1.000000,175.850000,5256200,1729574472667937251,2024-10-22T12:19:54
HDFCSML250,INF179KC1FB2,2024-10-22,BSE,EQ,B,buy,false,5.000000,175.700000,5574000,1729574472667937366,2024-10-22T12:21:08
NIFTYBEES,INF204KB14I2,2024-10-22,NSE,EQ,EQ,buy,false,10.000000,274.600000,408400423,1200000053832534,2024-10-22T13:32:17
MIDCAPETF,INF769K01IC9,2024-10-22,BSE,EQ,B,buy,false,10.000000,21.260000,7225000,1729582994011286659,2024-10-22T13:33:48
HDFCSML250,INF179KC1FB2,2024-10-22,NSE,EQ,EQ,buy,false,10.000000,174.530000,208916239,1100000059251339,2024-10-22T14:34:21
MAFANG,INF769K01HF4,2024-10-24,NSE,EQ,EQ,buy,false,10.000000,96.950000,405998189,1200000038267263,2024-10-24T12:30:22
NESTLEIND,INE239A01024,2024-10-24,NSE,EQ,EQ,buy,false,1.000000,2243.800000,405972732,1200000038372229,2024-10-24T12:31:05
HDFCSML250,INF179KC1FB2,2024-10-24,NSE,EQ,EQ,buy,false,10.000000,175.200000,206020182,1100000031925974,2024-10-24T13:22:33
NIFTYBEES,INF204KB14I2,2024-10-25,NSE,EQ,EQ,buy,false,4.000000,269.800000,406875468,1200000040982971,2024-10-25T12:06:01
HDFCSML250,INF179KC1FB2,2024-10-25,NSE,EQ,EQ,buy,false,6.000000,171.000000,207459320,1100000043167749,2024-10-25T12:06:18
NIFTYBEES,INF204KB14I2,2024-11-01,BSE,EQ,B,buy,false,1.000000,272.730000,3210900,1730464200046324551,2024-11-01T18:17:23
GOLDBEES-E,INF204KB17I5,2024-11-01,BSE,EQ,E,buy,false,1.000000,66.650000,4310100,1730464200045097569,2024-11-01T18:26:10
NIFTYBEES,INF204KB14I2,2024-11-04,NSE,EQ,EQ,buy,false,8.000000,267.000000,406455283,1200000036714419,2024-11-04T12:07:49
MIDCAPETF,INF769K01IC9,2024-11-04,BSE,EQ,B,buy,false,30.000000,21.020000,15333400,1730705974900764802,2024-11-04T14:21:43
NIFTYBEES,INF204KB14I2,2024-11-04,NSE,EQ,EQ,buy,false,10.000000,268.500000,409900339,1200000054090668,2024-11-04T15:27:52
HDFCSML250,INF179KC1FB2,2024-11-04,NSE,EQ,EQ,buy,false,10.000000,175.270000,209994036,1100000050209223,2024-11-04T15:28:02
ASIANPAINT,INE021A01026,2024-11-06,NSE,EQ,EQ,buy,false,1.000000,2872.000000,3740589,1000000025588001,2024-11-06T11:52:01
HNGSNGBEES,INF204KB19I1,2024-11-06,NSE,EQ,EQ,buy,false,1.000000,349.270000,208112872,1100000052750751,2024-11-06T14:56:23
NESTLEIND,INE239A01024,2024-11-07,BSE,EQ,A,buy,false,1.000000,2249.200000,3773500,1730954975105408836,2024-11-07T10:51:27
